site_name	site_code	country_code	country	site_area_ha	area_of_study_ha	dead_wood_sampling_method	latidute_n_new	longitude_e_new	altitude_m	altitude_average_m	altitude_strm	annual_precipitation_diff_sources_mm	precipitation_of_warmest_quarter_bio18	precipitation_in_vegetation_period	annual_precipitation_bio12_mm	annual_evaporation_mm	water_balance_prec_evap	snow_cover_modis_myd10v5	mean_temperature_of_the_warmst_month	max_temp_of_warmest_month_bio5	mean_temperature_of_the_coldest_month	min_temp_of_coldest_month_bio6	temp_annual_range_bio7	mean_annual_temperature	mean_temperature_in_vegetation_period	mean_temperature_of_warmest_quarter_bio10	annual_mean_temp_bio1	soil_type_fao85_lev1_eu_soil_atlas	ellenberg_quotient_q	lang_quotient_based_on_world_clim	corine_2006	main_tree_species_only_tree_species_with_more_than_10_m3_living_volume	forest_type_bear	beech_proportion	deciduous_proportion_minus_beech	conifer_proportion	eunis_only_dominating_forest_type	forest_type_natura_2000_eu_habitat_directive	natural_disturbance_wind	natural_disturbance_snow	natural_disturbance_waterlogging	natural_disturbance_drought	natural_disturbance_insects	natural_disturbance_fungi	reserve_established_year	reserve_age	reserve_classification	virgin_forest	former_coppice	former_high_forest	former_wood_pasture	living_tree_volume_m3_ha_1_total	living_tree_volume_m3_ha_1_fagus	living_tree_volume_m3_ha_1_quercus	living_tree_volume_m3_ha_1_fraxinus	living_tree_volume_m3_ha_1_acer	living_tree_volume_m3_ha_1_other_decideuous	living_tree_volume_m3_ha_1_abies	living_tree_volume_m3_ha_1_picea	living_tree_volume_m3_ha_1_other_coniferous	living_tree_volume_m3_ha_1_minimum_dbh_recorded_cm	living_tree_volume_m3_ha_1_year_recorded	snag_standing_dead_trees_volume_m3_ha_1_total	snag_standing_dead_trees_volume_m3_ha_1_fagus	snag_standing_dead_trees_volume_m3_ha_1_quercus	snag_standing_dead_trees_volume_m3_ha_1_fraxinus	snag_standing_dead_trees_volume_m3_ha_1_acer	snag_standing_dead_trees_volume_m3_ha_1_other_decideuous	snag_standing_dead_trees_volume_m3_ha_1_abies	snag_standing_dead_trees_volume_m3_ha_1_picea	snag_standing_dead_trees_volume_m3_ha_1_other_coniferous	snag_standing_dead_trees_volume_m3_ha_1_minimum_dbh_recorded_cm	snag_standing_dead_trees_volume_m3_ha_1_year_recorded	fallen_log_volume_m3_ha_1_total	fallen_log_volume_m3_ha_1_fagus	fallen_log_volume_m3_ha_1_quercus	fallen_log_volume_m3_ha_1_fraxinus	fallen_log_volume_m3_ha_1_acer	fallen_log_volume_m3_ha_1_other_decideuous	fallen_log_volume_m3_ha_1_abies	fallen_log_volume_m3_ha_1_picea	fallen_log_volume_m3_ha_1_other_coniferous	fallen_log_volume_m3_ha_1_minimum_dbh_recorded_cm	fallen_log_volume_m3_ha_1_year_recorded	total_dead_volume_m3_ha_1_total	total_dead_volume_m3_ha_1_fagus	total_dead_volume_m3_ha_1_quercus	total_dead_volume_m3_ha_1_fraxinus	total_dead_volume_m3_ha_1_acer	total_dead_volume_m3_ha_1_other_decideuous	total_dead_volume_m3_ha_1_abies	total_dead_volume_m3_ha_1_picea	total_dead_volume_m3_ha_1_other_coniferous	dead_living_volume_percent	snag_log_ratio_percent	no_of_sampled_trees	decay_stages_of_cwd4	beech_boys_average_dbh	beech_boys_average_dc	beech_boys_average_moss_cover	beech_boys_average_bark_cover	beech_boys_average_soil_contact	beech_boys_number_of_logs	beech_boys_number_of_species	beech_boys_chao2_estimated_species_richness_based_on_n_20	beech_boys_number_of_fungi_per_log	vegetation_nerea	utmy	utmx	ut_mzone	connectivity_1_km	connectivity_10_km	connectivity_100_km	beech_boys_region
Grote konijnepijp	NA	BE	Belgium	NA	NA	NA	50.81205039	4.700364519	NA	NA	NA	NA	211	NA	817	472	345	1.6	NA	22.3	NA	-0.9	23.2	NA	NA	16.8	9.8	D	NA	83	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neigembos	NA	BE	Belgium	NA	NA	NA	50.81157931	4.066357913	NA	NA	NA	NA	207	NA	795	465	330	1.9	NA	22.3	NA	-0.4	22.7	NA	NA	17	10.1	L	NA	79	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ruhrbush	NA	BE	Belgium	NA	NA	NA	50.49334275	6.237813596	NA	NA	NA	NA	314	NA	1190	313	877	13.4	NA	18.4	NA	-3.4	21.8	NA	NA	13.9	6.9	B	NA	172	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vroenen	NA	BE	Belgium	NA	NA	NA	50.71701155	4.288724886	NA	NA	NA	NA	210	NA	807	435	372	2	NA	22.7	NA	-0.8	23.5	NA	NA	17.1	10.1	L	NA	80	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Wijnendalebos	NA	BE	Belgium	NA	NA	NA	51.06540367	3.042033949	NA	NA	NA	NA	195	NA	705	389	316	2.3	NA	20.6	NA	0.5	20.1	NA	NA	16.2	10	P	NA	71	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zoinenwoud	BE_Zoin	BE	Belgium	10.8	10.8	CS	50.75000121	4.419967469	110	110	NA	797	217	NA	831	439	392	2.2	18.2	22.4	3.4	-1.1	23.5	9.4	NA	16.7	9.8	D	22.2	85	23	"Fa, Qu"	F5a	0.96	0.04	0	G1.62	9130	W	NA	NA	NA	NA	FALSE	1993	21	0	NA	NA	H	NA	794	765	29	0	0	0	0	0	0	30	2000	19	13	6	0	0	0	0	0	0	7	2000	120	119	1	0	0	0	0	0	0	7	2000	139	132	7	0	0	0	0	0	0	0.17	0.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1	1.15	0.78	NA
Zoniënwoud	NA	BE	Belgium	80	NA	NA	50.75000121	4.419967469	NA	105	126	829	NA	NA	831	439	392	2.2	18.2	22.4	3.4	-1.1	23.5	9.4	NA	NA	9.8	D	NA	85	23	Qu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	01/May	NA	NA	NA	NA	NA	67	99	NA	12.8	Broadleaved	5622986	600173	31U	2.1	1.15	0.78	R1
Zoniënwoud - Kern	NA	BE	Belgium	18	11	NA	50.75000121	4.419967469	NA	105	NA	829	NA	NA	831	439	392	2.2	18.2	22.4	3.4	-1.1	23.5	9.4	NA	NA	9.8	NA	NA	85	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	125	01/May	NA	NA	NA	NA	NA	125	121	NA	15.6	Fagus	5622986	600173	31U	2.1	1.15	0.78	R1
Perucica	NA	BA	Bosnia-Herzegovina	786	NA	NA	43.30079973	18.7178414	1100-1600	NA	1295	NA	NA	NA	1160	494	666	27.3	NA	21	NA	-5.5	26.5	NA	NA	NA	6.6	B	NA	176	25	"Ab, Fa, Pi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	1095	NA	NA	NA	NA	NA	NA	NA	NA	all	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	all	c.1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	all	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.96	5.77	2.45	NA
Boatin	NA	BU	Bulgaria	1600	NA	NA	42.8211874	24.25054515	NA	815	970	NA	NA	NA	686	380	306	13.5	NA	23.1	NA	-7	30.1	NA	NA	NA	7.4	B	NA	93	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85	2.9	NA	NA	NA	20	88	107	14.2	Conifers	4744495	275192	35T	6.96	5.48	1.74	R6
Carichina	NA	BU	Bulgaria	NA	NA	NA	42.79945273	24.41940676	NA	NA	865	NA	NA	NA	673	378	295	12.2	NA	23.9	NA	-6.6	30.5	NA	NA	NA	7.9	B	NA	85	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kamuka	NA	BU	Bulgaria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Marina Reka	NA	BU	Bulgaria	NA	NA	NA	42.10938328	27.76335948	NA	NA	246	NA	NA	NA	618	397	221	6.7	NA	27.3	NA	-0.9	28.2	NA	NA	NA	12.3	A	NA	50	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Severen Dzehndem	NA	BU	Bulgaria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Silkosia	NA	BU	Bulgaria	380	NA	NA	42.083056	27.75416699	NA	230	NA	NA	NA	NA	615	397	218	5.9	NA	27.5	NA	-0.7	28.2	NA	NA	NA	12.4	A	NA	50	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68	2.9	NA	NA	NA	20	92	133	12.5	Broadleaved	4659273	562377	35T	5.01	1.97	0.54	R6
Sredoka	NA	BU	Bulgaria	NA	NA	NA	42.03232493	27.54615167	NA	NA	NA	NA	NA	NA	607	400	207	5.2	NA	28.3	NA	-0.9	29.2	NA	NA	NA	12.5	L	NA	49	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.81	2.01	0.58	NA
Staratzina strict reserve	NA	BU	Bulgaria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Corkova	NA	CR	Croatia	NA	NA	NA	44.90050258	15.5411164	NA	NA	907	NA	NA	NA	1322	130	1192	17	NA	22	NA	-5.2	27.2	NA	NA	NA	7	E	NA	189	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	753	348	0	0	0	1	356	49	0	7 cm?	2009	119	20	0	0	0	0	97	2	0	7 cm	2009	172	24	0	0	0	0	146	1	0	all?	2009	291	44	0	0	0	0	243.16	3.6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.96	5.73	2.3	NA
Boubín	CZ_Boub	CZ	Czech Republic	46.6	46.6	CS	48.97998004	13.81252681	930-1110	970	NA	867	NA	NA	1118	369	749	27.2	13	18.8	-5	-8.2	27	4.2	NA	NA	4.5	B	15	248	25	"Pi, Fa, Ab"	F5b	0.41	0	0.59	G1.63	9130	W	NA	Wa	NA	NA	NA	1882	132	1	V	NA	NA	NA	772	318	0	0	0	1	37	416	0	10	1996	67	7	0	0	0	0	28	31	0	10	1996	167	35	0	0	0	1	49	83	0	10	1996	234	42	0	0	0	1	77	114	0	0.3	0.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1	2.01	1.37	NA
